label,n_non_null,pct_labeled,n_pos_non_null,prevalence_among_labeled
ACL,58,0.013160880417517586,24,0.41379310344827586
MCL,58,0.013160880417517586,9,0.15517241379310345
Medial Meniscus,58,0.013160880417517586,26,0.4482758620689655
Lateral Meniscus,58,0.013160880417517586,23,0.39655172413793105
Medial OA,58,0.013160880417517586,15,0.25862068965517243
Lateral OA,58,0.013160880417517586,11,0.1896551724137931
PF OA,58,0.013160880417517586,21,0.3620689655172414
Effusion,58,0.013160880417517586,35,0.603448275862069
Synovitis,58,0.013160880417517586,27,0.46551724137931033
Baker's,58,0.013160880417517586,12,0.20689655172413793
Contusion,58,0.013160880417517586,19,0.3275862068965517
Fracture,58,0.013160880417517586,18,0.3103448275862069
